date,Idx_SnP500,Bonds_US_10Y,Com_Silver,Bonds_CHN_1Y,Bonds_BRZ_10Y,Com_Milk,Idx_SnPVIX,EPU_Mainland China,Com_Coking_Coal,Com_Corn,Com_Cocoa,Com_Cotton,Com_HRC_Steel,Com_Lumber,Com_Nickel,Com_NaturalGas,Com_Oat,Com_Wool,Com_Rice,Com_Sugar,Com_Iron_Ore,EX_USD_CNY,Idx_Shanghai,EPU_Australia,EPU_Brazil,EPU_Canada,EPU_Chile,EPU_France,EPU_Greece,EPU_India,EPU_Ireland,EPU_Italy,EPU_Japan,EPU_Korea,EPU_Pakistan,EPU_Russia,EPU_Spain,EPU_UK,EPU_US,Idx_MOVE,Idx_US_PMI,Idx_US_IPI,Idx_US_IPI_chg,Idx_US_CPI_chg,Idx_US_UnemploymentRate_chg,Com_Gold
2021-02-16,3932.59,1.299,27.22,2.768,7.71,15.64,21.46,237.408613576867,1700.0,552.25,2498.0,88.12,1170.0,992.4,18772.25,3.129,353.25,1273.0,12.715,16.73,161.0,6.4243,3655.088,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,56.78,58.7,95.5072,-3.3063,0.934,-0.2,1794.31
2021-02-17,3931.33,1.299,27.3471,2.768,7.88,15.63,21.5,237.408613576867,1700.0,553.0,2447.0,88.36,1162.0,986.8,18719.5,3.219,352.75,1315.0,12.745,16.96,161.99,6.4344,3655.088,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,55.97,58.7,95.5072,-3.3063,0.934,-0.2,1776.26
2021-02-18,3913.97,1.287,27.0158,2.815,7.74,15.62,22.49,237.408613576867,1700.0,550.25,2558.0,88.73,1162.0,1004.5,19113.5,3.082,353.25,1318.0,12.73,17.51,164.59,6.4592,3675.35718,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,56.12,58.7,95.5072,-3.3063,0.934,-0.2,1775.48975
2021-02-19,3906.71,1.345,27.2118,2.73,8.06,15.61,22.05,237.408613576867,1696.0,542.75,2535.0,88.95,1162.0,990.3,19565.5,3.069,348.5,1318.0,12.87,17.79,164.07,6.4583,3696.168,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,60.43,58.7,95.5072,-3.3063,0.934,-0.2,1782.31
2021-02-22,3876.5,1.369,28.157,2.739,8.03,15.61,23.45,237.408613576867,1614.5,551.0,2582.0,90.77,1165.0,1021.8,19457.25,2.953,351.25,1318.0,12.89,18.78,163.87,6.465,3642.44482,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,62.42,58.7,95.5072,-3.3063,0.934,-0.2,1808.66
2021-02-23,3881.37,1.364,27.62,2.695,8.205,15.64,23.11,237.408613576867,1562.5,553.75,2596.0,91.37,1165.0,1018.1,19309.0,2.857,355.25,1310.0,12.835,18.41,164.16,6.4577,3636.35742,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,61.73,58.7,95.5072,-3.3063,0.934,-0.2,1805.06
2021-02-24,3925.43,1.389,27.98,2.641,8.12,15.59,21.34,237.408613576867,1579.0,559.25,2650.0,92.33,1263.0,1010.8,19661.0,2.795,367.25,1310.0,12.87,18.16,164.53,6.4465,3564.07983,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,61.92,58.7,95.5072,-3.3063,0.934,-0.2,1804.36
2021-02-25,3829.34,1.515,27.4,2.663,8.14,15.65,28.89,237.408613576867,1600.5,554.75,2705.0,88.24,1260.0,1007.0,19158.0,2.777,368.75,1306.0,12.805,17.84,165.02,6.4877,3585.046,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,74.16,58.7,95.5072,-3.3063,0.934,-0.2,1769.87915
2021-02-26,3811.15,1.456,26.62,2.697,8.19,15.63,27.95,237.408613576867,1484.5,555.5,2701.0,87.82,1264.0,995.6,18532.0,2.771,376.5,1306.0,12.75,17.53,165.61,6.478,3509.08032,92.5516984915924,201.5782394559336,323.2082073717509,187.6252593994141,226.4303407182275,89.41066253531694,51.77739108457203,152.026599953697,136.7891216502725,106.3777832381653,130.9214771454762,46.42575744687305,417.9085948690242,148.2900543212891,172.0104560838324,187.5196161119768,75.66,58.7,95.5072,-3.3063,0.934,-0.2,1733.49
2021-03-01,3901.82,1.446,26.5128,2.569,8.3,15.64,23.35,302.30058172503,1578.0,547.5,2736.0,88.48,1260.0,974.0,18636.5,2.777,373.5,1306.0,12.795,16.21,171.74,6.4675,3551.4,67.00852799431362,184.3842110655669,344.1619567946901,197.8923645019531,258.4463581759861,57.59138038128594,40.93234026810346,195.9718802877109,175.0876612990577,84.46883436862977,140.7314464428878,102.0075088576119,375.6824139291332,153.3734588623047,211.3199841419758,166.7855324285332,68.73,60.8,98.1929,2.6857,1.274,-0.1,1723.83887
